1014928	garlic cloves	salt to taste	salsa	queso fresco	salt and freshly ground pepper	medium onions	tomatoes	black beans	cumin seeds	tomatillos
1014929	corn tortillas	salsa	lime juice	tomatoes	salt to taste	cumin seeds	scallions	red bell peppers	parmesan	avocados
1014920	onion powder	cumin	coriander	cumin seeds	parsley	paprika	cayenne	cilantro	ginger	cayenne peppers
1014921	cumin	cayenne peppers	coriander	cayenne	cumin seeds	jalapeno peppers	tomato paste	corn tortillas	ground cumin	worcestershire sauce
1014922	onion powder	cardamom pods	fresh mint	lamb shoulder	asparagus	barberries	ghee	mustard seeds	sweet paprika	fresh lemon juice
1014924	cilantro	kosher salt	lime juice	soy sauce	ginger	lemon juice	red onions	capers	limes	tomatoes
1014925	cloves	ginger	nutmegs	rose water	minced garlic	cinnamon sticks	allspice berries	pistachios	ground cumin	cardamom
1014926	corn tortillas	freshly ground pepper	avocados	cumin seeds	garlic cloves	extra virgin olive oil	fresh lemon juice	queso fresco	large garlic cloves	flour
1014927	corn tortillas	avocados	freshly ground pepper	serrano chiles	ripe tomatoes	chopped chives	freshly ground pepper to taste	cumin seeds	fresh lemon juice	cilantro
11542	celery	thyme	parsley	extra-virgin olive oil	bay leaf	extra virgin olive oil	shallots	water	scallions	salt to taste
11543	celery	parsley	thyme	bay leaf	tomato paste	bread crumbs	dry white wine	chicken broth	shallots	bay leaves
11541	parsley	cumin	water	shallots	kosher salt	tomatoes	mint	chickens	carrots	extra virgin olive oil
11546	milk	vanilla extract	baking soda	all-purpose flour	brown sugar	cloves	heavy cream	water	apples	ginger
11547	parsley	carrots	celery	shallots	tomatoes	milk	chicken broth	lemons	heavy cream	chicken stock
11544	parsley	flour	lemons	extra virgin olive oil	carrots	heavy cream	tomatoes	milk	all-purpose flour	shallots
11545	flour	all-purpose flour	cumin	nutmegs	lemon juice	cinnamon	shallots	vanilla extract	ginger	parsley
11548	milk	vanilla extract	baking soda	all-purpose flour	heavy cream	brown sugar	cloves	water	ginger	lemons
5982	coriander seeds	cloves	ginger	ground coriander	kosher salt	nutmegs	paprika	all-purpose flour	baking powder	cilantro
5983	mustard	beef	cloves	cinnamon	red wine	worcestershire sauce	beans	dijon-style mustard	oregano	nutmegs
5981	egg whites	baking soda	confectioners' sugar	baking powder	granulated sugar	chocolate	cocoa	vanilla extract	salted butter	water
5987	milk	flour	shallots	scallions	lemon juice	parsley	ginger	carrots	lemons	all-purpose flour
6970	parsley	thyme	lemon juice	extra-virgin olive oil	kosher salt	flour	extra virgin olive oil	shallots	dry white wine	carrots
9202	soy sauce	milk	scallions	water	cinnamon	lemons	shallots	baking powder	vegetable oil	heavy cream
7624	turmeric	ginger	black peppercorns	cilantro	lemon juice	kosher salt	parsley	soy sauce	dry white wine	cayenne
6796	thyme	dry white wine	carrots	bay leaf	lemon juice	celery	tomatoes	heavy cream	dijon mustard	extra virgin olive oil
1015529	cumin	cumin seeds	ginger	scallions	kosher salt	extra-virgin olive oil	lime juice	ground coriander	extra virgin olive oil	tomatoes
1015528	rye whiskey	simple syrup	maraschino liqueur	orange bitters	sweet vermouth	gin	syrup	vermouth	absinthe	rum
6792	pecan halves	sweetened condensed milk	fromage blanc	raisins	bourbon	peaches	sweet corn	apricots	pie shells	pink peppercorns
6793	cocoa powder	cocoa	chocolate	unsweetened cocoa powder	cream of tartar	vanilla extract	confectioners' sugar	whipped cream	cake flour	cherries
6971	confectioners' sugar	cocoa powder	vanilla extract	cocoa	vanilla	heavy cream	coffee	corn syrup	liqueur	hazelnuts
6791	arborio rice	tomato sauce	basil	bread crumbs	mushrooms	dry white wine	parsley	chicken stock	white wine	rosemary
1015523	vanilla extract	buttermilk	milk	granulated sugar	cinnamon	vanilla	flour	fine sea salt	dark brown sugar	light brown sugar
1015522	extra virgin olive oil	garlic cloves, minced	ground cloves	plump garlic cloves	extra-virgin olive oil	whole wheat flour	leeks	winter squash	large eggs	active dry yeast
1015521	baking soda	baking powder	cornmeal	blueberries	chocolate	vanilla extract	vanilla	all-purpose flour	rum	canola oil
1015520	baking powder	baking soda	heavy cream	cinnamon	ground cloves	granulated sugar	flour	nutmegs	brown sugar	fine sea salt
1015526	baking powder	vanilla extract	all-purpose flour	water	nutmegs	cinnamon	lemons	shallots	baking soda	lemon juice
1015525	thyme	parsley	bay leaf	tomatoes	dry white wine	chicken stock	chickens	chicken broth	potatoes	mushrooms
1015524	fresh lemon juice	cinnamon	chopped cilantro	large garlic cloves	garlic cloves	freshly ground pepper	baking powder	flour	apples	pine nuts
1013253	corn tortillas	lime juice	cumin	scallions	jalapeno peppers	cumin seeds	limes	corn	ginger	avocados
1013251	soy sauce	scallions	lime juice	limes	sesame oil	cumin	red onions	avocados	tomatoes	eggplants
1013250	sesame oil	cilantro	peanut oil	vegetable oil	sesame seeds	carrots	water	chicken stock	shrimps	orange juice
1013257	granulated sugar	angostura bitters	fine sea salt	vanilla beans	egg yolks	light brown sugar	corn syrup	pecans	ice	chocolate
1013256	evaporated milk	granulated sugar	bittersweet chocolate	egg yolks	strawberries	fine sea salt	chocolate	pastry	vanilla extract	unsweetened chocolate
1013254	milk	shallots	nutmegs	dry white wine	egg yolks	kosher salt	potatoes	vanilla extract	carrots	all-purpose flour
1013259	salsa	avocados	lime juice	jalape??os	extra virgin olive oil	cumin seeds	serrano chiles	soy sauce	chopped cilantro	salt to taste
1013258	limes	corn tortillas	red onions	cucumbers	scallions	corn	cilantro leaves	cumin seeds	ginger	serrano chiles
270	sesame oil	scallions	ginger	vegetable oil	ketchup	peanut oil	mayonnaise	bread crumbs	mustard	oil
271	baking soda	vanilla extract	milk	cinnamon	flour	buttermilk	honey	kosher salt	strawberries	brown sugar
272	baking powder	milk	cinnamon	pecans	baking soda	water	vanilla extract	apples	nutmegs	brown sugar
273	flour	raisins	lemon juice	milk	cinnamon	all-purpose flour	lemons	currants	parsley	dill
275	parsley	thyme	scallions	tomatoes	bay leaf	mushrooms	bay leaves	chicken broth	leeks	chicken stock
278	thyme	parsley	bay leaf	leeks	tomatoes	bay leaves	water	tomato paste	scallions	chicken broth
279	flour	nutmegs	vanilla extract	all-purpose flour	baking powder	water	ginger	brown sugar	cloves	lemons
12019	cinnamon	baking powder	milk	kosher salt	water	parsley	flour	ginger	raisins	thyme
12018	milk	cinnamon	baking powder	water	tomato paste	thyme	nutmegs	lemons	heavy cream	chicken broth
12015	all-purpose flour	baking soda	vanilla extract	heavy cream	cinnamon	water	buttermilk	coriander	nutmegs	oregano
2558	orange juice	cinnamon	flour	confectioners' sugar	lemons	raisins	cherries	vanilla beans	all-purpose flour	lemon juice
12017	milk	thyme	parsley	cinnamon	water	carrots	bay leaf	dry white wine	celery	lemons
12016	baking powder	milk	vanilla extract	brown sugar	all-purpose flour	apples	heavy cream	water	ginger	buttermilk
12011	coconut milk	pineapples	rice	yogurt	golden raisins	lime juice	cilantro	dry white wine	celery	raisins
12013	parsley	thyme	heavy cream	bay leaf	lemons	carrots	extra virgin olive oil	chicken stock	potatoes	celery
12012	jalape??os	salsa	queso fresco	lime juice	limes	cilantro	cumin	tomatillos	chili powder	chopped cilantro
6347	bay leaf	chickens	dry white wine	shrimps	oil	mushrooms	cumin	thyme	soy sauce	scallions
10709	lime juice	cilantro	ginger	lemon juice	soy sauce	avocados	parsley	tomatoes	limes	yogurt
10708	celery	thyme	bay leaf	tomatoes	water	lemon juice	shallots	dry white wine	mushrooms	flour
9529	parsley	thyme	dry white wine	heavy cream	basil	eggplants	parmesan cheese	mushrooms	tomatoes	lemons
9258	scallions	ginger	sesame seeds	cornstarch	cilantro	lime juice	fish sauce	peanuts	shrimps	cilantro leaves
9259	all-purpose flour	flour	lemon juice	milk	lemons	carrots	baking powder	extra virgin olive oil	buttermilk	heavy cream
9256	sesame oil	ginger	scallions	cilantro	peanut oil	cornstarch	shrimps	rice vinegar	vegetable oil	chicken broth
9257	cilantro	cornstarch	sesame seeds	vegetable oil	rice vinegar	coriander	limes	shrimps	lime juice	chicken stock
9254	dry white wine	parsley	bay leaf	mushrooms	carrots	celery	heavy cream	leeks	rosemary	white wine
10700	strawberries	oranges	lemons	blueberries	flour	heavy cream	blackberries	parsley	honey	liqueur
10707	ginger	sesame oil	cilantro	peanut oil	vegetable oil	shrimps	cornstarch	chicken broth	fish sauce	chicken stock
9253	ginger	scallions	rice vinegar	peanut oil	cornstarch	honey	cilantro	red pepper flakes	oil	vegetable oil
10705	shad	parsley	flour	lemon juice	thyme	water	shallots	salt and pepper	milk	kosher salt
9251	flour	heavy cream	all-purpose flour	water	lemons	lemon juice	thyme	carrots	baking powder	tomatoes
6415	milk	shallots	dry white wine	fennel seeds	mushrooms	white wine	leeks	nutmegs	flour	basil
3519	baking powder	flour	all-purpose flour	baking soda	cloves	water	apples	lemons	honey	cornstarch
3518	baking powder	milk	baking soda	cinnamon	heavy cream	nutmegs	all-purpose flour	water	confectioners' sugar	ginger
3513	milk	buttermilk	cinnamon	flour	brown sugar	heavy cream	confectioners' sugar	kosher salt	nutmegs	granulated sugar
3512	fennel seeds	rosemary	thyme	bay leaves	capers	bay leaf	tomato paste	cumin	leeks	potatoes
3511	parsley	lemons	thyme	kosher salt	heavy cream	baking powder	milk	extra virgin olive oil	water	dry white wine
3517	soy sauce	shallots	bay leaf	mushrooms	thyme	scallions	sesame oil	ginger	parsley	chicken stock
3516	vanilla extract	milk	flour	cinnamon	brown sugar	kosher salt	vanilla	nutmegs	granulated sugar	vegetable oil
3515	dijon mustard	beets	baking powder	soy sauce	shallots	sherry vinegar	flour	cinnamon	apples	scallions
3514	mirin	raspberry vinegar	low-fat yogurt	sesame oil	tangerines	minced fresh ginger	dark sesame oil	hamburger buns	soy sauce	peanuts
2686	baking powder	baking soda	all-purpose flour	chocolate	brown sugar	milk	heavy cream	pecans	bittersweet chocolate	granulated sugar
2687	soy sauce	sesame oil	scallions	cilantro	rice wine	vegetable oil	pork	shrimps	white pepper	rice vinegar
2681	parsley	extra-virgin olive oil	all-purpose flour	extra virgin olive oil	lemons	water	shallots	heavy cream	scallions	thyme
2683	parsley	water	lemons	extra virgin olive oil	shallots	tomatoes	flour	kosher salt	heavy cream	carrots
99	carrots	parsley	milk	thyme	heavy cream	lemons	lemon juice	bay leaf	tomatoes	leeks
98	egg yolks	granulated sugar	fine sea salt	vanilla beans	cheese	bittersweet chocolate	sausages	heavy cream	kosher salt	vanilla extract
90	milk	water	shallots	thyme	lemon juice	lemons	carrots	dry white wine	baking powder	nutmegs
96	parsley	extra virgin olive oil	thyme	dry white wine	lemon juice	carrots	heavy cream	lemons	zucchinis	basil
1017316	ginger	sesame oil	lime juice	cucumbers	peanut oil	vegetable oil	shrimps	fish sauce	sesame seeds	oil
1017317	thyme	parsley	bay leaf	rosemary	bay leaves	tomatoes	leeks	capers	dry white wine	mushrooms
1017314	flour	baking soda	heavy cream	cinnamon	confectioners' sugar	nutmegs	granulated sugar	brown sugar	kosher salt	cornstarch
1017315	ginger	kosher salt	soy sauce	parsley	milk	coriander	carrots	baking powder	celery	cumin
1017312	bay leaf	tomatoes	lemon juice	shallots	leeks	dry white wine	water	rosemary	extra virgin olive oil	flour
1017313	carrots	bay leaf	dry white wine	celery	lemons	lemon juice	kosher salt	rosemary	basil	extra virgin olive oil
1017310	cucumbers	sour cream	yogurt	dijon mustard	capers	mint	cayenne	lemon juice	parsley	red onions
1017311	pistachios	walnut oil	cream of tartar	cake flour	powdered sugar	cinnamon	confectioners??? sugar	granulated sugar	raisins	vanilla extract
1017318	parsley	carrots	thyme	kosher salt	dry white wine	tomatoes	dijon mustard	extra virgin olive oil	heavy cream	water
1017319	heavy cream	mushrooms	thyme	dry white wine	parsley	dijon mustard	chives	horseradish	salt and pepper	carrots
5952	soy sauce	scallions	rice vinegar	ginger	peanut oil	cornstarch	carrots	dark soy sauce	flour	cucumbers
6414	baking powder	nutmegs	vanilla extract	brown sugar	all-purpose flour	buttermilk	fine sea salt	pecans	dark brown sugar	flour
1175	all-purpose flour	extra-virgin olive oil	thyme	extra virgin olive oil	scallions	lemon juice	lemons	heavy cream	cilantro	shallots
1174	baking powder	vanilla extract	nutmegs	brown sugar	milk	buttermilk	vegetable oil	flour	soy sauce	kosher salt
1173	baking powder	vanilla extract	milk	brown sugar	flour	heavy cream	buttermilk	lemons	honey	vegetable oil
1172	baking soda	milk	all-purpose flour	cinnamon	heavy cream	brown sugar	chocolate	buttermilk	nutmegs	almonds
1171	heavy cream	flour	soy sauce	cinnamon	all-purpose flour	scallions	vanilla extract	nutmegs	baking powder	vanilla beans
1170	strawberries	blueberries	blackberries	liqueur	gelatin	powdered sugar	cold water	peaches	berries	rose water
1178	all-purpose flour	extra-virgin olive oil	thyme	extra virgin olive oil	scallions	lemon juice	lemons	heavy cream	cilantro	shallots
512	cinnamon	nutmegs	oranges	flour	vanilla extract	all-purpose flour	confectioners' sugar	baking powder	pears	strawberries
879	tomatoes	dry white wine	bay leaves	lemons	shallots	chicken broth	lemon juice	potatoes	flour	chicken stock
6832	heavy cream	baking powder	vanilla extract	cinnamon	all-purpose flour	nutmegs	lemons	baking soda	lemon juice	parsley
6260	celery	tomatoes	water	ginger	cilantro	thyme	soy sauce	shallots	lemons	extra virgin olive oil
1016373	pears	cinnamon	confectioners' sugar	oranges	star anise	cloves	honey	brown sugar	walnuts	ground cinnamon
1016372	simple syrup	parsley	dry vermouth	water	cointreau	absinthe	extra virgin olive oil	flour	shallots	angostura bitters
1016377	navel oranges	grapefruit juice	flour	pomegranate juice	tequila	mezcal	chia seeds	milk	lemon juice	cinnamon
1016376	baking powder	all-purpose flour	milk	baking soda	flour	cinnamon	heavy cream	granulated sugar	pears	brown sugar
1016374	confectioners' sugar	star anise	almond extract	raspberries	oranges	honey	cherries	raisins	apples	orange juice
1016379	vanilla extract	all-purpose flour	whole-wheat flour	milk	whole wheat flour	cinnamon	cornmeal	granulated sugar	mild honey	vanilla
1016378	cilantro	freshly grated nutmeg	mint	pistachios	ground ginger	whole wheat flour	cucumbers	ground cloves	oats	low-fat milk
7184	vanilla extract	baking powder	flour	chocolate	cinnamon	lemons	nutmegs	almonds	baking soda	lemon juice
7185	milk	confectioners' sugar	vanilla extract	strawberries	liqueur	vanilla beans	blackberries	blueberries	cocoa powder	flour
7186	vanilla extract	milk	chocolate	vanilla beans	raspberries	all-purpose flour	baking powder	rhubarb	flour	vanilla
7187	confectioners' sugar	raspberries	coffee	vanilla	vanilla extract	heavy cream	liqueur	flour	milk	whipped cream
1015310	angostura bitters	gin	ice	parsley	water	raspberries	blackberries	lemons	liqueur	extra virgin olive oil
1015311	mezcal	navel oranges	grapefruit juice	raisins	blood oranges	apricots	pomegranate juice	gin	peaches	nutmegs
1015312	cilantro	lime juice	cilantro leaves	fish sauce	scallions	basil leaves	shrimps	ginger	avocados	oranges
875	bay leaf	carrots	tomatoes	lemon juice	celery	lemons	ginger	flour	heavy cream	extra virgin olive oil
1015316	angostura bitters	ice	orange juice	simple syrup	bitters	gin	pineapple juice	pineapples	liqueur	campari
1015317	flour	almonds	lemon juice	cherries	carrots	milk	all-purpose flour	parsley	lemons	heavy cream
1015319	scallions	soy sauce	flour	cinnamon	lemons	parsley	carrots	heavy cream	milk	shallots
1012504	celery	thyme	tomatoes	shallots	bay leaf	water	lemons	garlic cloves	mushrooms	chicken stock
1012853	carrots	bay leaf	celery	shallots	tomatoes	lemon juice	dry white wine	water	flour	kosher salt
1012850	bitters	tequila	angostura bitters	ice	agave nectar	cilantro	chartreuse	simple syrup	gin	prosecco
1012507	celery	thyme	water	tomatoes	bay leaf	lemon juice	shallots	extra virgin olive oil	orecchiette	lemons
1012500	baking powder	all-purpose flour	vanilla extract	whole wheat flour	whole-wheat flour	cake flour	cornmeal	vanilla	egg whites	cinnamon
1012501	tomatoes	shallots	thyme	carrots	garlic cloves	lemon juice	arborio rice	bay leaf	celery	leeks
1012502	thyme	carrots	shallots	tomatoes	lemon juice	celery	garlic cloves	leeks	water	mushrooms
1012503	shallots	garlic cloves	leeks	peas	chicken stock	parmesan	parsley	tomatoes	lemon juice	potatoes
8017	soy sauce	sesame oil	ginger	fish sauce	cilantro	peanut oil or canola oil	lime juice	limes	mint leaves	sesame seeds
8016	lemon juice	thyme	carrots	lemons	dijon mustard	dill	tomatoes	celery	potatoes	shallots
1012858	garlic cloves	zucchinis	lemon juice	parsley	carrots	water	thyme	parmesan	cumin	celery
1012859	tomatoes	cilantro	cayenne	cucumbers	kosher salt	parsley	lemons	water	lime juice	yogurt
1012508	milk	vanilla extract	pineapples	vanilla beans	chocolate	flour	strawberries	almond extract	nutmegs	fruits
1012509	flour	vanilla extract	all-purpose flour	nutmegs	baking powder	chocolate	cinnamon	whole milk	water	granulated sugar
8011	extra virgin olive oil	parsley	lime juice	cilantro	dijon mustard	basil	dill	cumin	lemons	water
8542	dry white wine	bay leaf	tomatoes	carrots	milk	lemon juice	celery	dijon mustard	lemons	leeks
7456	ginger	peanut oil	rice vinegar	limes	lime juice	sesame seeds	cornstarch	vegetable oil	shrimps	cucumbers
4592	milk	cinnamon	heavy cream	baking powder	vanilla extract	lemons	lemon juice	brown sugar	ginger	strawberries
7455	shallots	carrots	dry white wine	scallions	cinnamon	milk	thyme	soy sauce	bay leaf	chicken broth
7452	celery	thyme	parsley	chickens	cumin	tomatoes	bay leaf	cilantro	water	cayenne peppers
7453	celery	carrots	bay leaf	dry white wine	shallots	lemons	tomatoes	water	chicken broth	cayenne peppers
4593	celery	parsley	dry white wine	water	bay leaves	tomatoes	chicken broth	shallots	chicken stock	rosemary
2743	thyme	dry white wine	shallots	tomatoes	basil	bay leaf	lemon juice	basil leaves	carrots	oregano
7458	parsley	dry white wine	lemon juice	thyme	heavy cream	orange juice	ginger	flour	scallions	salt and pepper
7459	celery	parsley	bay leaf	water	shallots	rosemary	dry white wine	tomato paste	lemons	leeks
2742	ginger	sesame oil	scallions	ketchup	vegetable oil	peanut oil	cornstarch	mayonnaise	cilantro	mustard
1016199	baking powder	milk	vanilla extract	kosher salt	baking soda	condensed milk	nutmegs	heavy cream	cinnamon	parmesan cheese
1016198	baking powder	vanilla extract	ground cinnamon	ground nutmeg	nutmegs	milk	dark brown sugar	brown sugar	cloves	granulated sugar
1016197	onion powder	worcestershire sauce	hot sauce	sour cream	corn tortillas	mustard	ketchup	tabasco sauce	dijon mustard	apple juice
1016196	lime juice	soy sauce	scallions	ginger	fish sauce	sesame oil	shrimps	vegetable oil	peanut oil	peanuts
1016194	baking powder	cinnamon	all-purpose flour	baking soda	brown sugar	milk	flour	pecans	heavy cream	almonds
1016193	nutmegs	cloves	pears	apricots	apples	milk	cinnamon sticks	almonds	ginger	blueberries
1016191	raisins	pears	star anise	cinnamon	vanilla beans	almond extract	cloves	ground cinnamon	oranges	honey
2744	dill	mustard	chives	worcestershire sauce	dijon mustard	cider vinegar	paprika	cheese	capers	cream cheese
2747	thyme	parsley	celery	ginger	dry white wine	soy sauce	lemon juice	tomatoes	extra virgin olive oil	leeks
4595	parsley	flour	bay leaf	thyme	shallots	carrots	leeks	lemons	chicken broth	lemon juice
6794	parsley	tomatoes	extra virgin olive oil	shallots	water	lemons	mint leaves	extra-virgin olive oil	pine nuts	capers
10885	flour tortillas	dijon mustard	sherry vinegar	red onions	curry leaves	black beans	fresh ginger	turmeric	flank steak	arugula
10886	tomatoes	zucchinis	plum tomatoes	oregano	parmesan cheese	eggplants	mint	parmesan	red peppers	red pepper flakes
10887	cilantro	basil leaves	cucumbers	limes	eggplants	cilantro leaves	red onions	basil	mint	shrimps
